Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-05-21,4249700,52056600,4208900,11799200,1041600,2156300,2225000,12934500,7141500,1514600,5961700,1412100,2351100,5960000,13466700
2015-05-22,3395800,47032900,2995500,12652000,1552700,1740500,3040400,9296900,5513900,2114700,5657300,1470200,1644800,6133800,8568800
2015-05-26,5282700,100048200,6258300,16564500,2065000,2833600,3336300,15571300,8434000,2385400,5143000,2567900,4955200,7536400,15859100
2015-05-27,5105100,70026700,6021100,13699400,1211000,2131700,3011500,10963700,8252300,1881600,4590700,1799300,2848900,5808500,12526100
2015-05-28,4443000,60970000,5545200,13380900,847700,1847900,3084900,11797400,9717600,1563200,4823200,2051200,3304000,4846200,10348700
2015-05-29,7385100,74266200,7481500,13841400,1177500,2473600,2255500,14310700,7858800,3669700,6622800,2597900,3192600,7785600,17291500
2015-06-01,4716900,62941600,12563600,18156300,995400,2129300,2088200,11899300,8830700,2359800,4921400,2016600,3027200,5242000,15746200
2015-06-02,4197300,65513200,7886600,17765400,910800,2427900,2230700,12784200,6178700,2836000,4489100,2261100,3433900,4290600,13148700
2015-06-03,4321400,89614900,5037400,21240500,1107600,2221400,2417000,12927300,7812600,2627600,6740000,2016600,3459700,8312800,16197700
2015-06-04,5438100,61025500,8572500,18517600,1505700,3164000,3462500,13863300,7713400,2269000,7954700,1648200,3529900,6980900,17627100
2015-06-05,4817000,119087400,7996300,26500400,2081000,3965400,3225100,20801100,9808100,3567700,13552500,2639100,4321200,7470100,16890300
2015-06-08,5883600,69749600,5810300,14961600,1444700,3476700,2180700,14558700,7327000,2558900,5922600,2375100,2862800,5831400,14248400
2015-06-09,4506300,82104900,3552700,15193100,2682600,2361700,2278800,13263500,7807900,2419200,5549200,1964300,2901200,6495900,14669900
2015-06-10,5865400,102643100,9921800,21275600,1416100,4359300,2677300,17478900,9546900,3594800,7451100,2756100,4102200,7944500,18622400
2015-06-11,4013400,77191500,5825900,19187100,1013100,2939100,2024100,13739900,6981000,2287200,7436700,1260200,3044000,7059500,13943300
2015-06-12,6253500,53149400,5853700,13860600,828100,2627500,2006200,11804700,5896300,1839500,5910000,1999900,2498800,4763500,13439000
2015-06-15,4929300,68053400,7393200,17698400,1433300,2810100,1903800,14082300,5635300,2788800,5355900,1541800,5157400,6290000,12920600
2015-06-16,6992700,47291200,8233800,13563800,1169600,2250500,1954200,11692800,4580300,1733600,6033300,1752800,3584500,5831700,10476100
2015-06-17,6945600,88712100,6824100,17801900,978700,2870300,1778400,14521900,7029500,2158200,7677700,1980100,4356700,8008000,17497700
2015-06-18,4632300,97599900,8737100,18739300,1222700,2655700,2167200,16759600,7593800,2671500,9954300,1763600,5394700,8892500,18299900
2015-06-19,13054800,83395400,9539500,18840500,1364100,3614800,4163400,21606400,10338800,2475000,7645400,3133000,4731800,14699700,36241100
2015-06-22,5548600,58477700,4721700,13011600,876900,2140900,2006100,14306700,8676300,1990800,5668000,1955800,5810100,5213600,15111200
2015-06-23,5356300,63865700,4676600,16216100,849600,1881000,2735600,15736900,9380300,1584000,6172300,1727600,4611300,4544600,13354200
2015-06-24,5637600,59079500,3788200,19235500,1409700,2153800,3945200,16995000,8065700,2545800,4026400,2429600,3329300,5960700,16166600
2015-06-25,6591100,59772200,3055100,12176200,6178800,2431700,2434700,13314300,8939700,2250300,5647500,1823600,3762000,5714100,14053600
2015-06-26,15746700,63080800,6485300,12148300,2632900,3244000,2762600,14489200,8325600,2240000,13570000,2453400,4137800,6822400,16975900
2015-06-29,8553300,98604200,5083700,22260400,2367000,3131100,3292800,19934400,10819300,2054600,11173600,2330300,4241200,7302000,19289700
2015-06-30,7793000,89039800,6406200,17737400,1777400,2827500,4167300,20677400,11102300,2333100,8009300,2507300,4724600,7549700,17346700
2015-07-01,5319900,62317400,5146700,17606100,17646700,2728800,2820300,13964400,10549900,1869000,7413900,1408400,3874800,6025200,12165300
2015-07-02,4577700,64736500,4580100,12062800,5568400,1903700,1816600,12822900,6801200,1752100,4716900,1396000,3324200,4843000,10106800
2015-07-06,5724800,58726900,5207600,12706200,2979200,1999400,2816800,13527100,8044500,1731600,5972000,1273400,3950100,6146600,11682100
2015-07-07,7183000,115450500,4661100,32011200,3819900,2581300,3304200,22421500,12759200,2327600,9808200,1929500,5019800,8586900,15831800
